Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
278,Alec Ingold\IngoAl01,LVR,25,fb,9,3,2,1,0,1,1,0.5,0.1,0
279,Andy Janovich\JanoAn00,CLE,28,fb,13,3,2,0,1,1,1,0.0,0.0,0
280,Van Jefferson\JeffVa00,LAR,25,WR,17,17,2,20,0,1,10,10.0,1.2,0
281,Jerry Jeudy\JeudJe00,DEN,22,wr,10,5,2,3,0,0,3,1.5,0.3,1
282,Marcus Johnson\JohnMa07,TEN,27,wr,7,3,2,-2,0,1,5,-1.0,-0.3,0
283,Zay Jones\JoneZa00,LVR,26,wr,17,9,2,3,0,0,4,1.5,0.2,1
284,Travis Kelce*\KelcTr00,KAN,32,TE,16,16,2,3,1,1,4,1.5,0.2,1
285,John Kelly\KellJo00,CLE,25,,4,0,2,13,0,1,11,6.5,3.3,0
286,Dallin Leavitt\LeavDa00,LVR,27,s,16,1,2,6,0,2,4,3.0,0.4,0
287,Tyler Lockett\LockTy00,SEA,29,WR,16,16,2,9,0,0,7,4.5,0.6,0
288,Sean Mannion\MannSe00,MIN,29,qb,1,1,2,14,0,2,11,7.0,14.0,0
289,Ray-Ray McCloud\McClRa00,PIT,25,wr,16,5,2,15,0,0,10,7.5,0.9,4
290,Scott Miller\MillSc01,TAM,24,,9,0,2,43,1,2,33,21.5,4.8,0
291,Raheem Mostert\MostRa00,SFO,29,rb,1,1,2,20,0,1,11,10.0,20.0,0
292,Zach Pascal\PascZa00,IND,27,WR,16,13,2,21,0,0,12,10.5,1.3,1
293,Jacques Patrick\PatrJa01,SFO,24,,2,0,2,12,0,1,8,6.0,6.0,0
294,Nathan Peterman\PeteNa00,LVR,27,,1,0,2,2,0,1,1,1.0,2.0,0
295,Patrick Ricard*\RicaPa00,BAL,27,FB,13,11,2,4,0,2,2,2.0,0.3,0
296,Emmanuel Sanders\SandEm00,BUF,34,WR,14,13,2,31,0,2,24,15.5,2.2,0
297,Durham Smythe\SmytDu00,MIA,26,TE,17,12,2,3,0,2,2,1.5,0.2,0
298,Jaylen Waddle\WaddJa00,MIA,23,WR,16,16,2,3,1,1,2,1.5,0.2,2
299,James Washington\WashJa00,PIT,25,wr,15,2,2,13,0,0,12,6.5,0.9,0
300,Davis Webb\WebbDa00,BUF,26,,1,0,2,-3,0,0,-1,-1.5,-3.0,0
301,Cedrick Wilson Jr.\WilsCe01,DAL,26,wr,16,4,2,11,0,1,6,5.5,0.7,3
302,John Wolford\WolfJo00,LAR,26,,3,0,2,-1,0,0,0,-0.5,-0.3,0
303,Jordan Akins\AkinJo00,HOU,29,te,13,3,1,3,0,1,3,3.0,0.2,2
304,Mark Andrews*+\AndrMa00,BAL,26,te,17,9,1,0,0,0,0,0.0,0.0,1
305,Alex Bachman\BachAl00,NYG,25,,3,0,1,-3,0,0,-3,-3.0,-1.0,0
306,C.J. Beathard\BeatC.00,JAX,28,,2,0,1,2,0,0,2,2.0,1.0,0
307,David Blough\BlouDa00,DET,26,,1,0,1,6,0,0,6,6.0,6.0,1
308,C.J. Board\BoarC.00,NYG,28,wr,6,1,1,6,0,0,6,6.0,1.0,0
309,Reggie Bonnafon\BonnRe00,CAR,25,,4,0,1,4,0,0,4,4.0,1.0,0
310,Gary Brightwell\BrigGa00,NYG,22,,13,0,1,4,0,0,4,4.0,0.3,0
311,Antonio Brown\BrowAn04,TAM,33,,7,3,1,6,0,0,6,6.0,0.9,0
312,Dyami Brown\BrowDy00,WAS,22,wr,15,6,1,-4,0,0,-4,-4.0,-0.3,0
313,Marquise Brown\BrowMa04,BAL,24,WR,16,16,1,5,0,1,5,5.0,0.3,3
314,Sean Chandler\ChanSe00,CAR,25,s,15,7,1,14,0,1,14,14.0,0.9,0
315,Randall Cobb\CobbRa00,GNB,31,wr,12,3,1,1,0,0,1,1.0,0.1,1
316,Chris Conley\ConlCh00,HOU,29,wr,16,10,1,3,0,1,3,3.0,0.2,1
317,Pharoh Cooper\CoopPh00,NYG,26,,8,0,1,3,0,0,3,3.0,0.4,0
318,Nathan Cottrell\CottNa00,JAX,25,,4,0,1,3,0,0,3,3.0,0.8,0
319,Jaelon Darden\DardJa00,TAM,22,,9,0,1,11,0,1,11,11.0,1.2,0
320,Phillip Dorsett\DorsPh00,3TM,28,,6,0,1,0,0,0,0,0.0,0.0,0
321,Greg Dortch\DortGr01,ARI,23,wr,5,2,1,24,0,1,24,24.0,4.8,0
322,Eric Ebron\EbroEr00,PIT,28,,8,3,1,1,1,1,1,1.0,0.1,0
323,Bryan Edwards\EdwaBr01,LVR,23,WR,16,12,1,0,0,0,0,0.0,0.0,1
324,Evan Engram\EngrEv00,NYG,27,TE,15,12,1,-3,0,0,-3,-3.0,-0.2,1
325,Zach Ertz\ErtzZa00,2TM,31,,17,14,1,4,0,0,4,4.0,0.2,0
326,Mike Evans*\EvanMi00,TAM,28,WR,16,16,1,10,0,1,10,10.0,0.6,0
327,Clayton Fejedelem\FejeCl00,MIA,28,,17,0,1,0,0,0,0,0.0,0.0,1
328,Maurice Ffrench\FfreMa00,LAC,23,,3,0,1,3,0,0,3,3.0,1.0,0
329,Ryan Fitzpatrick\FitzRy00,WAS,39,qb,1,1,1,2,0,0,2,2.0,2.0,1
330,Jamie Gillan\GillJa00,CLE,24,p,12,0,1,0,0,0,-8,0.0,0.0,1
331,Cyril Grayson\GrayCy01,TAM,28,wr,5,3,1,14,0,1,14,14.0,2.8,0
332,Johnny Hekker\HekkJo00,LAR,31,,17,0,1,0,0,0,0,0.0,0.0,1
333,DeSean Jackson\JackDe00,2TM,35,,16,4,1,4,0,0,4,4.0,0.3,1
334,Christian Kirk\KirkCh01,ARI,25,WR,17,11,1,11,0,1,11,11.0,0.6,0
335,Cole Kmet\KmetCo00,CHI,22,TE,17,17,1,0,0,0,0,0.0,0.0,0
336,Patrick Laird\LairPa00,MIA,26,,6,0,1,4,0,0,4,4.0,0.7,0
337,Andy Lee\LeexAn20,ARI,39,p,16,0,1,0,0,0,0,0.0,0.0,3
338,Braden Mann\MannBr01,NYJ,24,p,10,0,1,4,0,0,4,4.0,0.4,0
339,Nate McCrary\McCrNa00,BAL,22,,1,0,1,-1,0,0,-1,-1.0,-1.0,0
340,Terry McLaurin\McLaTe00,WAS,26,WR,17,17,1,12,0,1,12,12.0,0.7,0
341,D.K. Metcalf\MetcDK00,SEA,24,WR,17,17,1,6,0,0,6,6.0,0.4,1
342,Jakobi Meyers\MeyeJa01,NWE,25,WR,17,16,1,9,0,0,9,9.0,0.5,1
343,Dax Milne\MilnDa00,WAS,22,wr,13,1,1,1,0,0,1,1.0,0.1,1
344,C.J. Moore\MoorCJ01,DET,26,s,17,1,1,28,0,1,28,28.0,1.6,0
345,Stanley Morgan Jr.\MorgSt02,CIN,25,wr,17,1,1,3,0,0,3,3.0,0.2,0
346,Ryan Nall\NallRy00,CHI,26,,9,0,1,4,0,0,4,4.0,0.4,0
347,David Njoku\NjokDa00,CLE,25,TE,16,11,1,1,0,0,1,1.0,0.1,0
348,Gunner Olszewski\OlszGu00,NWE,25,,16,0,1,9,0,0,9,9.0,0.6,3
349,K.J. Osborn\OsboKJ00,MIN,24,wr,17,9,1,10,0,1,10,10.0,0.6,0
350,Devine Ozigbo\OzigDe01,2TM,25,,3,0,1,-3,0,0,0,-3.0,-1.0,0
351,Michael Palardy\PalaMi00,MIA,29,p,17,0,1,1,0,0,1,1.0,0.1,0
352,Josh Palmer\PalmJo00,LAC,23,wr,17,5,1,6,0,0,6,6.0,0.4,0
353,Breshad Perriman\PerrBr02,TAM,28,,6,0,1,-3,0,0,-3,-3.0,-0.5,0
354,Trey Ragas\RagaTr00,LVR,25,,1,0,1,9,0,1,9,9.0,9.0,0
355,Amari Rodgers\RodgAm00,GNB,22,wr,16,1,1,11,0,1,11,11.0,0.7,2
356,Chester Rogers\RogeCh02,TEN,27,wr,16,2,1,9,0,0,9,9.0,0.6,4
357,John Ross\RossJo00,NYG,26,wr,10,1,1,16,0,1,16,16.0,1.6,1
358,Sterling Shepard\ShepSt00,NYG,28,wr,7,6,1,-9,0,0,-9,-9.0,-1.3,0
359,Cam Sims\SimsCa00,WAS,25,wr,14,3,1,7,0,0,7,7.0,0.5,0
360,Darius Slayton\SlayDa01,NYG,24,wr,13,5,1,-13,0,0,-13,-13.0,-1.0,1
361,Ito Smith\SmitIt00,DAL,26,,1,0,1,4,1,1,4,4.0,4.0,0
362,Jeff Smith\SmitJe03,NYJ,24,wr,12,3,1,-1,0,0,-1,-1.0,-0.1,0
363,Shi Smith\SmitSh03,CAR,23,,6,0,1,-3,0,0,-3,-3.0,-0.5,0
364,Tremon Smith\SmitTr04,HOU,25,db,17,2,1,7,0,0,7,7.0,0.4,0
365,Kenny Stills\StilKe00,NOR,29,wr,13,4,1,1,0,0,1,1.0,0.1,0
366,Adam Thielen\ThieAd00,MIN,31,WR,13,13,1,2,0,0,2,2.0,0.2,1
367,Quez Watkins\WatkQu00,PHI,23,WR,17,12,1,3,0,0,3,3.0,0.2,0
368,Derek Watt\WattDe00,PIT,29,fb,17,4,1,1,0,1,1,1.0,0.1,0
369,Preston Williams\WillPr01,MIA,24,wr,8,3,1,7,0,0,7,7.0,0.9,0
370,Andrew Wingard\WingAn01,JAX,25,S,15,15,1,4,0,1,4,4.0,0.3,0
371,Olamide Zaccheaus\ZaccOl01,ATL,24,wr,17,8,1,2,0,1,2,2.0,0.1,0
