Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
446,Cody Davis\DaviCo02,JAX,30,,16,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.1,0.4,0
447,Rashard Davis\DaviRa01,TEN,24,,1,0,1,1,100.0%,16,16.0,0,1,16,16.0,1.0,16.0,0
448,Dion Dawkins\DawkDi00,BUF,25,LT,16,16,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0
449,Michael Deiter\DeitMi00,MIA,23,LG,16,15,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,0
450,Jeff Driskel\DrisJe00,DET,26,/qb,3,3,1,1,100.0%,6,6.0,0,0,6,6.0,0.3,2.0,1
451,Quincy Enunwa\EnunQu00,NYJ,27,,1,1,3,1,33.3%,-4,-4.0,0,0,8,-1.3,1.0,-4.0,1
452,Zach Gentry\GentZa00,PIT,23,,4,0,1,1,100.0%,4,4.0,0,1,4,4.0,0.3,1.0,0
453,Cyril Grayson\GrayCy01,TAM,26,,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,0
454,Xavier Grimble\GrimXa00,PIT,27,,3,1,3,1,33.3%,3,3.0,0,0,3,1.0,0.3,1.0,0
455,Dwayne Harris\HarrDw00,OAK,32,,3,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.3,2.3,0
456,Chris Herndon\HernCh00,NYJ,23,,1,0,2,1,50.0%,7,7.0,0,0,7,3.5,1.0,7.0,0
457,Krishawn Hogan\HogaKr00,NOR,24,,8,0,1,1,100.0%,4,4.0,0,0,4,4.0,0.1,0.5,0
458,Jakob Johnson\JohnJa12,NWE,25,FB,4,3,2,1,50.0%,5,5.0,0,0,5,2.5,0.3,1.3,0
459,Charles Jones\JoneCh10,JAX,23,,4,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.3,1.3,0
460,Taiwan Jones\JoneTa00,HOU,31,,11,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.1,0.8,0
461,Dennis Kelly\KellDe00,TEN,29,,15,4,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0
462,Ben Koyack\KoyaBe00,JAX,26,te,11,6,3,1,33.3%,9,9.0,0,0,9,3.0,0.1,0.8,0
463,Chris Manhertz\ManhCh00,CAR,27,te,15,6,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,0.7,0
464,Codey McElroy\McElCo00,TAM,27,,1,0,1,1,100.0%,30,30.0,0,1,30,30.0,1.0,30.0,0
465,Kaleb McGary\McGaKa00,ATL,24,RT,16,16,1,1,100.0%,-3,-3.0,0,0,-3,-3.0,0.1,-0.2,0
