Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
22,Lamar Jackson\JackLa00,BAL,23,QB,15,15,11-4-0,242,376,64.4,2757,26,6.9,9,2.4,138,47,7.3,7.6,11.4,183.8,99.3,67.3,29,160,7.2,6.41,6.70,1,1
23,Joe Burrow\BurrJo01,CIN,24,QB,10,10,2-7-1,264,404,65.3,2688,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,48.5,32,231,7.3,5.64,5.72,,
24,Cam Newton\NewtCa00,NWE,31,QB,15,15,7-8-0,242,368,65.8,2657,8,2.2,10,2.7,133,50,7.2,6.4,11.0,177.1,82.9,39.4,31,195,7.8,6.17,5.44,1,3
25,Carson Wentz\WentCa00,PHI,28,QB,12,12,3-8-1,251,437,57.4,2620,16,3.7,15,3.4,130,59,6.0,5.2,10.4,218.3,72.8,41.9,50,326,10.3,4.71,3.98,3,2
26,Nick Mullens\MullNi00,SFO,25,QB,10,8,2-6-0,211,326,64.7,2437,12,3.7,12,3.7,120,49,7.5,6.6,11.5,243.7,84.1,36.3,19,139,5.5,6.66,5.79,1,1
27,Gardner Minshew II\MinsGa00,JAX,24,QB,9,8,1-7-0,216,327,66.1,2259,16,4.9,5,1.5,117,51,6.9,7.2,10.5,251.0,95.9,44.0,27,147,7.6,5.97,6.23,1,1
28,Sam Darnold\DarnSa00,NYJ,23,QB,12,12,2-10-0,217,364,59.6,2208,9,2.5,11,3,109,69,6.1,5.2,10.2,184.0,72.7,32.9,35,234,8.8,4.95,4.16,,
29,Andy Dalton\DaltAn00,DAL,33,QB,11,9,4-5-0,216,333,64.9,2170,14,4.2,8,2.4,116,69,6.5,6.3,10.0,197.3,87.3,46.1,24,184,6.7,5.56,5.34,2,3
30,Ryan Fitzpatrick\FitzRy00,MIA,38,qb,9,7,4-3-0,183,267,68.5,2091,13,4.9,8,3,106,70,7.8,7.5,11.4,232.3,95.6,70.9,14,65,5,7.21,6.85,1,1
31,Mitchell Trubisky\TrubMi00,CHI,26,QB,10,9,6-3-0,199,297,67,2055,16,5.4,8,2.7,124,53,6.9,6.8,10.3,205.5,93.5,53.8,18,125,5.7,6.13,6.00,1,1
32,Dak Prescott\PresDa01,DAL,27,qb,5,5,2-3-0,151,222,68,1856,9,4.1,4,1.8,93,58,8.4,8.4,12.3,371.2,99.6,73.1,10,66,4.3,7.72,7.72,1,1
33,Nick Foles\FoleNi00,CHI,31,qb,9,7,2-5-0,202,312,64.7,1852,10,3.2,8,2.6,93,50,5.9,5.4,9.2,205.8,80.8,36.0,18,145,5.5,5.17,4.69,2,2
34,Tua Tagovailoa\TagoTu00,MIA,22,QB,10,9,6-3-0,186,290,64.1,1814,11,3.8,5,1.7,100,35,6.3,6.2,9.8,181.4,87.1,44.8,20,136,6.5,5.41,5.40,2,2
35,Alex Smith\SmitAl03,WAS,36,QB,8,6,5-1-0,168,252,66.7,1582,6,2.4,8,3.2,74,68,6.3,5.3,9.4,197.8,78.5,28.2,22,139,8,5.27,4.39,1,1
36,Dwayne Haskins\HaskDw00,WAS,23,qb,7,6,1-5-0,148,241,61.4,1439,5,2.1,7,2.9,73,50,6.0,5.1,9.7,205.6,73.0,24.8,20,141,7.7,4.97,4.15,1,1
