Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
172,Jeff Heath\HeatJe00,DAL,28,SS,13,13,0,0,0,0,7,,,,,,0.0,63,41,22,3,2,
173,Lamarcus Joyner\JoynLa00,OAK,29,db,14,10,0,0,0,0,3,,,,,,0.0,49,41,8,3,0,
174,Nik Needham\NeedNi00,MIA,23,RCB,12,11,2,23,0,23,11,1,0,0,0,0,1.0,54,41,13,1,3,
175,Za'Darius Smith*\SmitZa00,GNB,27,ROLB,16,16,,,,,,1,0,0,0,0,13.5,55,41,14,17,37,
176,Kyle Van Noy\VanNKy00,NWE,28,RLB,15,15,0,0,0,0,3,3,0,2,22,1,6.5,56,41,15,7,15,
177,Joe Walker\WalkJo01,ARI,27,IL/LILB,16,11,,,,,,1,,,,,0.0,65,41,24,5,1,
178,T.J. Carrie\CarrTr00,CLE,29,cb/lcb,16,6,1,0,0,0,4,1,0,1,4,0,1.0,52,40,12,4,2,
179,Dante Fowler\FowlDa00,LAR,25,LOLB,16,14,0,0,0,0,6,2,0,1,26,1,11.5,58,40,18,16,16,
180,Clayton Geathers\GeatCl00,IND,27,SS,15,10,1,0,0,0,1,,,,,,0.0,54,40,14,1,0,
181,Desmond King\KingDe01,LAC,25,DB,15,8,0,0,0,0,2,1,4,2,13,0,2.5,51,40,11,4,4,
182,Khalil Mack*\MackKh00,CHI,28,LOLB,16,16,0,0,0,0,4,5,0,1,0,0,8.5,47,40,7,8,14,
183,Marcus Peters*+\PeteMa00,2TM,26,,16,15,5,210,3,89,14,0,0,1,0,0,0.0,53,40,13,1,0,
184,Marcus Williams\WillMa06,NOR,23,FS,15,15,4,56,1,55,13,1,0,1,0,0,0.0,55,40,15,0,0,
185,Carlos Dunlap\DunlCa99,CIN,30,LDE,14,14,0,0,0,0,8,2,0,0,0,0,9.0,63,39,24,13,21,
186,Mike Hughes\HughMi00,MIN,22,,14,3,1,0,0,0,9,2,3,2,0,0,0.0,45,39,6,1,0,
